da,text,delex_da,delex_text
"inform(name=""Green Spirit"")&inform(price_range=moderate)",Green Spirit je hezká restaurace s normálními cenami.,inform(name=X-name)&inform(price_range=X-price_range),X-name je hezká restaurace s X-price_range cenami .
"inform(name=""Pivo & Basilico"")&inform(area=""Staré Město"")&inform(price_range=moderate)",Pivo & Basilico je hezká restaurace na Starém Městě s běžnými cenami.,inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range),X-name je hezká restaurace na X-area s X-price_range cenami .
"inform(name=""Baráčnická rychta"")&inform(address=""Tržiště 9"")",Adresa restaurace Baráčnická rychta je Tržiště 9.,inform(name=X-name)&inform(address=X-address),adresa restaurace X-name je X-address .
"inform(name=""Švejk Restaurant"")&inform(phone=298306752)",Telefonní číslo restaurace Švejk je 298306752.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo X-name je X-phone .
"inform(area=Smíchov)&inform(name=""Baráčnická rychta"")",Baráčnická rychta je v oblasti Smíchova.,inform(area=X-area)&inform(name=X-name),X-name je v oblasti X-area .
goodbye(),Na shledanou.,goodbye(),na shledanou .
inform(name=Ferdinanda)&inform(price_range=moderate)&inform(kids_allowed=yes),Doporučila bych restauraci Ferdinanda. Najíte se tam za běžné ceny a restaurace je i pro děti.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),doporučila bych restauraci X-name . najíte se tam za X-price_range ceny a restaurace je i pro děti .
"inform(area=Hradčany)&inform(name=""Green Spirit"")&inform(phone=285823898)&inform(near=""TV Tower"")",Telefonní číslo do restaurace Green Spirit je 285823898. Restaurace se nachází blízko Žižkovské televizní věže v lokalitě Hradčany.,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone)&inform(near=X-near),telefonní číslo do restaurace X-name je X-phone . restaurace se nachází blízko X-near v lokalitě X-area .
goodbye(),Na slyšenou!,goodbye(),na slyšenou !
"inform(name=""Green Spirit"")&inform(price_range=cheap)&inform(good_for_meal=lunch)",Green Spirit spadá do nízké cenové kategorie a zajít byste sem měli na oběd.,inform(name=X-name)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal),X-name spadá do X-price_range cenové kategorie a zajít byste sem měli na X-good_for_meal .
inform(name=BarBar)&inform(kids_allowed=yes),BarBar umožnuje vstup i dětem.,inform(name=X-name)&inform(kids_allowed=yes),X-name umožnuje vstup i dětem .
"inform(name=""Pivo & Basilico"")&inform(type=restaurant)",Pivo & Basilico je dobrá restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je dobrá restaurace .
?reqmore(),Můžu Vám ještě s něčím pomoci?,?reqmore(),můžu vám ještě s něčím pomoci ?
"inform(name=""Baráčnická rychta"")&inform(good_for_meal=brunch)&inform(price_range=cheap)&inform(kids_allowed=no)","Baráčnická rychta je levná restaurace vhodná na brunch, kde není dovolen vstup s dětmi.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range)&inform(kids_allowed=no),"X-name je X-price_range restaurace vhodná na X-good_for_meal , kde není dovolen vstup s dětmi ."
