da,delex_da,text,delex_text
"inform(food=Indian,good_for_meal='lunch or dinner',name='Kočár z Vídně')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)",Kočár z Vídně podává indické pokrmy a dá se zde dobře naobědvat i navečeřet .,X-name podává X-food pokrmy a dá se zde dobře X-good_for_meal .
"inform(area=Karlín,food=French,name='Green Spirit')","inform(area=X-area,food=X-food,name=X-name)",Green Spirit sídlí na Karlíně a vaří francouzská jídla .,X-name sídlí na X-area a vaří X-food jídla .
goodbye(),goodbye(),Tak na shledanou !,Tak na shledanou !
"inform(address='Národní 13',name='Baráčnická rychta')","inform(address=X-address,name=X-name)",Adresa Baráčnické rychty je Národní 13,Adresa X-name je X-address
"inform(address='Malostranské náměstí 1',area=Nusle,name=Ferdinanda)","inform(address=X-address,area=X-area,name=X-name)",Restaurace Ferdinanda se nachází v Nuslích na adrese Malostranské náměstí 1 .,Restaurace X-name se nachází v X-area na adrese X-address .
?confirm(area=dont_care),?confirm(area=dont_care),Na oblasti nezáleží ?,Na oblasti nezáleží ?
goodbye(),goodbye(),"Děkuji , přeji hezký den .","Děkuji , přeji hezký den ."
"inform(kids_allowed=yes,name='U Tučňáků')","inform(kids_allowed=yes,name=X-name)",Restaurace U Tučňáků je vhodná pro návštěvu s dětmi .,Restaurace X-name je vhodná pro návštěvu s dětmi .
"inform(address='Újezd 2',name='Café Kampus')","inform(address=X-address,name=X-name)",Café Kampus najdete na Újezdě 2 .,X-name najdete na X-address .
?confirm(kids_allowed=no),?confirm(kids_allowed=no),"Mohu se ujistit , že hledáte restauraci , kam nemají přístup děti ?","Mohu se ujistit , že hledáte restauraci , kam nemají přístup děti ?"
"inform(food=Chinese,name=Ananta,near=Stromovka)","inform(food=X-food,name=X-name,near=X-near)","Mám tu restauraci Ananta blízko Stromovky , která podává čínskou kuchyni .","Mám tu restauraci X-name blízko X-near , která podává X-food kuchyni ."
?request(price_range),?request(price_range),Jakou cenovou kategorii si představujete ?,Jakou cenovou kategorii si představujete ?
goodbye(),goodbye(),Děkuji za zavolání .,Děkuji za zavolání .
"inform(kids_allowed=yes,name=Místo)","inform(kids_allowed=yes,name=X-name)","Ano , do restaurace Místo mohou děti","Ano , do restaurace X-name mohou děti"
goodbye(),goodbye(),"Děkuji , přeji krásný den .","Děkuji , přeji krásný den ."
"inform(good_for_meal='lunch or dinner',kids_allowed=yes,name='Café Kampus')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Restaurace Café Kampus se hodí na oběd i večeři a je vhodná pro děti .,Restaurace X-name se hodí na X-good_for_meal a je vhodná pro děti .
goodbye(),goodbye(),Ráda jsem pomohla . Na shledanou .,Ráda jsem pomohla . Na shledanou .
"inform(name=BarBar,type=restaurant)","inform(name=X-name,type=restaurant)",Pěkná restaurace je třeba BarBar .,Pěkná restaurace je třeba X-name .
goodbye(),goodbye(),Není zač .,Není zač .
"inform(address='Štefánikova 8',area=Dejvice,name='Baráčnická rychta')","inform(address=X-address,area=X-area,name=X-name)",Restaurace Baráčnická rychta se nachází na adrese Štefánikova 8 v Dejvicích .,Restaurace X-name se nachází na adrese X-address v X-area .
?request(price_range),?request(price_range),Chcete znát jejich cenovou skupinu ?,Chcete znát jejich cenovou skupinu ?
"inform(name=BarBar,postcode='127 00')","inform(name=X-name,postcode=X-postcode)",BarBar má poštovní směrovací číslo 127 00 .,X-name má poštovní směrovací číslo X-postcode .
"inform(address='Karmelitská 50',name=Místo)","inform(address=X-address,name=X-name)",Místo je v ulici Karmelitské 50 .,X-name je v ulici X-address .
