da,delex_da,text,delex_text
?request(area),?request(area),Jakou lokalitu hledáte ?,Jakou lokalitu hledáte ?
"inform_no_match(food=vegetarian,good_for_meal=brunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Poblíž se bohužel nenacházejí žádné vegetariánské restaurace , které by podávaly brunch .","Poblíž se bohužel nenacházejí žádné X-food restaurace , které by podávaly X-good_for_meal ."
?request(area),?request(area),Jakou městskou část hledáte ?,Jakou městskou část hledáte ?
"inform(area=Karlín,count=2,kids_allowed=dont_care,type=restaurant)","inform(area=X-area,count=X-count,kids_allowed=dont_care,type=restaurant)","Znám 2 restaurace v Karlíně , pokud nezáleží , jestli jsou vhodné pro děti nebo ne .","Znám X-count restaurace v X-area , pokud nezáleží , jestli jsou vhodné pro děti nebo ne ."
?confirm(kids_allowed=yes),?confirm(kids_allowed=yes),"Můžete potvrdit , že chcete vzít s sebou děti ?","Můžete potvrdit , že chcete vzít s sebou děti ?"
"inform(name='U Tučňáků',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",U Tučňáků mají vyšší ceny .,X-name mají X-price_range ceny .
"inform(name=Místo,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Místo nabízí levná jídla .,X-name nabízí X-price_range jídla .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Našla jsem 218 restaurací , které podávají různé druhy jídel .","Našla jsem X-count restaurací , které podávají různé druhy jídel ."
"inform(food=Mexican,kids_allowed=no,name=Ferdinanda)","inform(food=X-food,kids_allowed=no,name=X-name)","Restaurace Ferdinanda nabízí mexickou kuchyni , ale není vhodná pro návštěvu s dětmi .","Restaurace X-name nabízí X-food kuchyni , ale není vhodná pro návštěvu s dětmi ."
"inform(name=Místo,near='Petřín Tower')","inform(name=X-name,near=X-near)",Místo je krásná restaurace nedaleko od Petřínské rozhledny .,X-name je krásná restaurace nedaleko od X-near .
"inform(name='Švejk Restaurant',near='Prague Castle')","inform(name=X-name,near=X-near)",Restauraci Švejk najdete poblíž Pražského hradu .,X-name najdete poblíž X-near .
"inform(name='Baráčnická rychta',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Baráčnická rychta je pro Vás to pravé . Patří do drahé cenové kategorie .,X-name je pro Vás to pravé . Patří do X-price_range cenové kategorie .
?request(area),?request(area),V jaké oblasti mám restauraci hledat ?,V jaké oblasti mám restauraci hledat ?
"inform_no_match(food=Chinese,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)",Žádné restaurace nepodávají čínská jídla k snídani .,Žádné restaurace nepodávají X-food jídla k X-good_for_meal .
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Cenová skupina v restauraci U Tučňáků je normální .,Cenová skupina v restauraci X-name je X-price_range .
"inform(name='U Konšelů',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",U Konšelů je cenově zhruba střední .,X-name je cenově zhruba X-price_range .
"inform(food=Turkish,good_for_meal=dinner,name='U Tučňáků',price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","U Tučňáků je drahá turecká restaurace , která vaří večeře .","X-name je X-price_range X-food restaurace , která vaří X-good_for_meal ."
"inform(good_for_meal=lunch,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)","Café Savoy je dobrá restaurace , kam se dá zajít na oběd .","X-name je dobrá restaurace , kam se dá zajít na X-good_for_meal ."
?confirm(near='Wenceslas Square'),?confirm(near=X-near),"Mohu potvrdit , že chcete restauraci v blízkosti Václavského náměstí ?","Mohu potvrdit , že chcete restauraci v blízkosti X-near ?"
"inform(food=American,good_for_meal=dinner,name='Kočár z Vídně',price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Kočár z Vídně je dobrá drahá americká restaurace s večerním menu .,X-name je dobrá X-price_range X-food restaurace s X-good_for_meal menu .
"inform(good_for_meal=dinner,name='Café Kampus')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Café Kampus podávají večeře .,V X-name podávají X-good_for_meal .
"inform(name='Kočár z Vídně',near='Petřín Tower')","inform(name=X-name,near=X-near)",Kočár z Vídně sídlí v blízkosti Petřínské rozhledny .,X-name sídlí v blízkosti X-near .
"inform(name='U Tučňáků',near='Petřín Tower')","inform(name=X-name,near=X-near)",Restaurace U Tučňáků je poblíž Petřínské rozhledny .,Restaurace X-name je poblíž X-near .
?request(area),?request(area),V jaké oblasti si přejete se najíst ?,V jaké oblasti si přejete se najíst ?
"inform_only_match(food=Turkish,name='Švejk Restaurant',near='Charles Bridge',price_range=cheap)","inform_only_match(food=X-food,name=X-name,near=X-near,price_range=X-price_range)","Našla jsem pouze jednu levnou restauraci poblíž Karlova mostu , kde podávají tureckou kuchyni , Švejk Restaurant .","Našla jsem pouze jednu X-price_range restauraci poblíž X-near , kde podávají X-food kuchyni , X-name ."
?request(area),?request(area),Kde byste chtěli večeřet ?,Kde byste chtěli večeřet ?
"inform(kids_allowed=yes,name='Kočár z Vídně',near='Charles Bridge',price_range=expensive)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Kočár z Vídně najdete poblíž Karlova mostu , můžete sem s dětmi a ceny jsou spíše vyšší .","X-name najdete poblíž X-near , můžete sem s dětmi a ceny jsou spíše X-price_range ."
"inform(good_for_meal=lunch,kids_allowed=yes,name=Ferdinanda,near='Old Town Square')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near)",Ferdinanda je fajn místo na oběd . Nachází se poblíž Staroměstského náměstí a je vhodné pro děti,X-name je fajn místo na X-good_for_meal . Nachází se poblíž X-near a je vhodné pro děti
"inform(name=Ananta,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Ananta je krásná restaurace v levné cenové kategorii .,X-name je krásná restaurace v X-price_range cenové kategorii .
